,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
0,17.00,1,The Lost Symbol,4.3,"28,371",Dan Brown,Hardcover,2009
1,10.43,2,The Shack: Where Tragedy Confronts Eternity,4.6,"40,920",William P. Young,Paperback,2009
2,16.37,3,Liberty and Tyranny: A Conservative Manifesto,4.8,"5,305",Mark R. Levin,Hardcover,2009
3,16.41,4,"Breaking Dawn (The Twilight Saga, Book 4)",4.7,"24,891",Stephenie Meyer,Hardcover,2009
4,10.00,5,Going Rogue: An American Life,4.6,"1,599",Sarah Palin,Hardcover,2009
5,20.96,6,StrengthsFinder 2.0,4.1,Gallup,,Hardcover,2009
6,15.94,7,The Help,4.7,"32,353",Kathryn Stockett,Hardcover,2009
7,19.91,8,New Moon (The Twilight Saga),4.6,"20,381",Stephenie Meyer,Paperback,2009
8,69.99,9,The Twilight Saga Collection,4.7,"6,835",Stephenie Meyer,Hardcover,2009
9,15.69,10,Outliers: The Story of Success,4.6,"35,359",Malcolm Gladwell,Hardcover,2009
10,13.85,11,Eclipse (Twilight),4.7,"19,909",Stephenie Meyer,Hardcover,2009
11,25.91,12,"Twilight (The Twilight Saga, Book 1)",4.7,"34,201",Stephenie Meyer,Paperback,2009
12,9.90,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",4.5,"1,428",Glenn Beck,Paperback,2009
13,14.25,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,4.3,"4,205",Greg Mortenson,Paperback,2009
14,11.90,15,The Love Dare,4.8,"3,455",Stephen Kendrick,Paperback,2009
15,21.49,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",4.5,"8,400",Steve Harvey,Hardcover,2009
16,,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",4.6,"14,540",Jeff Kinney,Hardcover,2009
17,27.25,18,Under the Dome: A Novel,4.4,"12,825",Stephen King,Hardcover,2009
18,12.90,19,The Guernsey Literary and Potato Peel Pie Society,4.6,"36,610",Mary Ann Shaffer,Paperback,2009
19,13.93,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,4.5,949,David Zinczenko,Paperback,2009
20,9.64,21,Arguing with Idiots: How to Stop Small Minds and Big Government,4.6,909,Glenn Beck,Hardcover,2009
21,31.49,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",4.8,"8,039",Julia Child,Hardcover,2009
22,59.99,23,Sookie Stackhouse,4.7,"1,000",Charlaine Harris,Mass Market Paperback,2009
23,12.94,24,The Time Traveler's Wife,4.4,"10,526",Audrey Niffenegger,Paperback,2009
24,19.78,25,"Publication Manual of the American Psychological Association, 6th Edition",4.5,"12,906",American Psychological Association,Paperback,2009
25,12.48,26,True Compass: A Memoir,4.5,577,Edward M. Kennedy,Hardcover,2009
26,10.99,27,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),4.5,"30,912",Stieg Larsson,Paperback,2009
27,11.69,28,The 5000 Year Leap,4.8,"2,618",W. Cleon Skousen,Paperback,2009
28,15.00,29,Good to Great: Why Some Companies Make the Leap and Others Don't,4.5,"8,246",Jim Collins,Hardcover,2009
29,24.92,30,Eclipse (Twilight Sagas),4.7,"19,909",Stephenie Meyer,Paperback,2009
30,19.66,51,Diary of a Wimpy Kid Do-it-yourself Book,4.8,"9,924",Jeff Kinney,Hardcover,2009
31,20.23,52,Open: An Autobiography,4.6,"19,279",Andre Agassi,Hardcover,2009
32,7.95,53,Pride and Prejudice and Zombies,4.2,Jane Austen,,Paperback,2009
33,13.57,54,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,4.3,911,"Lifetime Television,",Paperback,2009
34,22.95,55,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,4.4,907,Lisa Lillien,Paperback,2009
35,17.74,56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",4.7,"23,325",Christopher McDougall,Hardcover,2009
36,8.06,57,A Bold Fresh Piece of Humanity,4.6,859,Bill O'Reilly,Hardcover,2009
37,12.99,58,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,4.8,"5,696",Ree Drummond,Hardcover,2009
38,7.83,59,The Book Thief,4.6,"65,533",Markus Zusak,Paperback,2009
39,17.99,60,South of Broad,4.5,"3,958",Pat Conroy,Hardcover,2009
40,10.33,61,The Omnivore's Dilemma: A Natural History of Four Meals,4.6,"5,141",Michael Pollan,Paperback,2009
41,18.99,62,The Host,4.6,"13,114",Stephenie Meyer,Hardcover,2009
42,12.99,63,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,4.3,"1,028",Jillian Michaels,Hardcover,2009
43,15.34,64,Ford County: Stories,4.3,"7,698",John Grisham,Hardcover,2009
44,11.00,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",4.6,"1,118",Michelle Malkin,Hardcover,2009
45,13.42,66,Blink: The Power of Thinking Without Thinking,4.5,"12,704",Malcolm Gladwell,Paperback,2009
46,11.98,67,"Diary of a Wimpy Kid, Book 1",4.6,"26,463",Jeff Kinney,Hardcover,2009
47,9.82,68,The Graveyard Book,4.6,"13,709",Neil Gaiman,Hardcover,2009
48,28.99,69,An Echo in the Bone (Outlander),4.7,"33,692",Diana Gabaldon,Hardcover,2009
49,19.99,70,"The Gathering Storm (Wheel of Time, Book 12)",4.8,"12,541",Robert Jordan,Hardcover,2009
