,price,ranks,title,average_rating,no_of_reviews,author,cover_type,year,genre
0,17.0,1,The Lost Symbol,4.3,28371,Dan Brown,Hardcover,2009,Fiction
1,10.43,2,The Shack: Where Tragedy Confronts Eternity,4.6,40920,William P. Young,Paperback,2009,Fiction
2,16.37,3,Liberty and Tyranny: A Conservative Manifesto,4.8,5305,Mark R. Levin,Hardcover,2009,Non Fiction
3,16.41,4,"Breaking Dawn (The Twilight Saga, Book 4)",4.7,24891,Stephenie Meyer,Hardcover,2009,Fiction
4,10.0,5,Going Rogue: An American Life,4.6,1599,Sarah Palin,Hardcover,2009,Non Fiction
5,20.96,6,StrengthsFinder 2.0,4.1,8109,Gallup,Hardcover,2009,Non Fiction
6,15.94,7,The Help,4.7,32353,Kathryn Stockett,Hardcover,2009,Fiction
7,19.91,8,New Moon (The Twilight Saga),4.6,20381,Stephenie Meyer,Paperback,2009,Fiction
8,69.99,9,The Twilight Saga Collection,4.7,6835,Stephenie Meyer,Hardcover,2009,Fiction
9,15.69,10,Outliers: The Story of Success,4.6,35359,Malcolm Gladwell,Hardcover,2009,Non Fiction
10,13.85,11,Eclipse (Twilight),4.7,19909,Stephenie Meyer,Hardcover,2009,Fiction
11,25.91,12,"Twilight (The Twilight Saga, Book 1)",4.7,34201,Stephenie Meyer,Paperback,2009,Fiction
12,9.9,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",4.5,1428,Glenn Beck,Paperback,2009,Non Fiction
13,14.25,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,4.3,4205,Greg Mortenson,Paperback,2009,Non Fiction
14,11.9,15,The Love Dare,4.8,3455,Stephen Kendrick,Paperback,2009,Non Fiction
15,21.49,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",4.5,8400,Steve Harvey,Hardcover,2009,Non Fiction
16,8.93,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",4.6,14540,Jeff Kinney,Hardcover,2009,Fiction
17,27.25,18,Under the Dome: A Novel,4.4,12825,Stephen King,Hardcover,2009,Fiction
18,12.9,19,The Guernsey Literary and Potato Peel Pie Society,4.6,36610,Mary Ann Shaffer,Paperback,2009,Fiction
19,13.93,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,4.5,949,David Zinczenko,Paperback,2009,Non Fiction
20,9.64,21,Arguing with Idiots: How to Stop Small Minds and Big Government,4.6,909,Glenn Beck,Hardcover,2009,Non Fiction
21,31.49,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",4.8,8039,Julia Child,Hardcover,2009,Non Fiction
22,59.99,23,Sookie Stackhouse,4.7,1000,Charlaine Harris,Mass Market Paperback,2009,Fiction
23,12.94,24,The Time Traveler's Wife,4.4,10526,Audrey Niffenegger,Paperback,2009,Fiction
